Country/Region,Date,Measure
China,1/23/2020,Hubei Lockdown
China,2/1/2020,China lockdown
Italy,2/21/2020,Lombardy lockdown
Italy,3/8/2020,N- Italy Lockdown
Italy,3/10/2020,Italy lockdown
US,3/13/2020,school closures WA
US,3/21/2020,"NY,WA lockdown"
"Korea, South",2/23/2020,Highest level alert
Spain,3/10/2020,local lockdown
Spain,3/13/2020,national lockdown
United Kingdom,3/23/2020,lockdown
France,3/12/2020,school closure
France,3/16/2020,lockdown
Germany,3/13/2020,school closure
Germany,3/22/2020,lockdown
Switzerland,3/16/2020,school closures
Switzerland,3/20/2020,lockdown
Netherlands,3/10/2020,local lockdowns
Netherlands,3/23/2020,lockdown
Belgium,3/13/2020,school/bar closures
Belgium,3/17/2020,lockdown
Norway,3/12/2020,lockdown
Norway,3/12/2020,lockdown
